t3_recv,tq_dequeue,cmd_seq,t0,t1,action_type,action_data
1779572255141,1779572255165,75,1779572255128,1779572255128,delta,"0,0.05"
1779572255173,1779572255221,76,1779572255159,1779572255159,delta,"0,0.05"
1779572255213,1779572255221,77,1779572255200,1779572255200,delta,"0,0.05"
1779572255246,1779572255255,78,1779572255233,1779572255233,delta,"0,0.05"
1779572255278,1779572255293,79,1779572255265,1779572255265,delta,"0,0.05"
1779572255310,1779572255349,80,1779572255297,1779572255297,delta,"0,0.05"
1779572255344,1779572255349,81,1779572255331,1779572255331,delta,"0,0.05"
1779572255386,1779572255421,82,1779572255372,1779572255372,delta,"0,0.05"
1779572255472,1779572255478,83,1779572255459,1779572255459,delta,"0,0.05"
1779572255477,1779572255478,84,1779572255464,1779572255464,delta,"0,0.05"
1779572255519,1779572255551,85,1779572255505,1779572255505,delta,"0,0.05"
1779572255559,1779572255607,86,1779572255546,1779572255546,delta,"0,0.05"
1779572255603,1779572255607,87,1779572255590,1779572255590,delta,"0,0.05"
1779572255657,1779572255680,88,1779572255643,1779572255643,delta,"0,0.05"
1779572255688,1779572255737,89,1779572255675,1779572255675,delta,"0,0.05"
1779572255734,1779572255737,90,1779572255720,1779572255720,delta,"0,0.05"
1779572255773,1779572255809,91,1779572255758,1779572255758,delta,"0,0.05"
1779572255815,1779572255866,92,1779572255802,1779572255802,delta,"0,0.05"
1779572255855,1779572255867,93,1779572255841,1779572255841,delta,"0,0.05"
1779572255898,1779572255902,94,1779572255884,1779572255884,delta,"0,0.05"
1779572255937,1779572255939,95,1779572255924,1779572255924,delta,"0,0.05"
1779572255969,1779572255995,96,1779572255956,1779572255956,delta,"0,0.05"
1779572256002,1779572256028,97,1779572255989,1779572255989,delta,"0,0.05"
1779572256034,1779572256068,98,1779572256021,1779572256021,delta,"0,0.05"
1779572256067,1779572256068,99,1779572256053,1779572256053,delta,"0,0.05"
1779572256100,1779572256124,100,1779572256086,1779572256086,delta,"0,0.05"
1779572256171,1779572256196,101,1779572256158,1779572256158,delta,"0,0.05"
1779572256176,1779572256196,102,1779572256162,1779572256162,delta,"0,0.05"
1779572256208,1779572256252,103,1779572256194,1779572256194,delta,"0,0.05"
1779572256250,1779572256252,104,1779572256237,1779572256237,delta,"0,0.05"
1779572256281,1779572256285,105,1779572256268,1779572256268,delta,"0,0.05"
1779572256314,1779572256324,106,1779572256300,1779572256300,delta,"0,0.05"
1779572256347,1779572256380,107,1779572256333,1779572256333,delta,"0,0.05"
1779572256384,1779572256413,108,1779572256371,1779572256371,delta,"0,0.05"
1779572256424,1779572256452,109,1779572256410,1779572256410,delta,"0,0.05"
1779572256467,1779572256508,110,1779572256453,1779572256454,delta,"0,0.05"
1779572256555,1779572256581,111,1779572256541,1779572256541,delta,"0,0.05"
1779572256559,1779572256581,112,1779572256546,1779572256546,delta,"0,0.05"
1779572256602,1779572256637,113,1779572256589,1779572256589,delta,"0,0.05"
1779572256642,1779572256671,114,1779572256629,1779572256629,delta,"0,0.05"
1779572256684,1779572256709,115,1779572256670,1779572256670,delta,"0,0.05"
1779572256725,1779572256765,116,1779572256712,1779572256712,delta,"0,0.05"
1779572256773,1779572256798,117,1779572256756,1779572256757,delta,"0,0.05"
1779572256812,1779572256838,118,1779572256799,1779572256799,delta,"0,0.05"
1779572256853,1779572256896,119,1779572256839,1779572256839,delta,"0,0.05"
1779572256894,1779572256896,120,1779572256880,1779572256880,delta,"0,0.05"
1779572256936,1779572256968,121,1779572256923,1779572256923,delta,"0,0.05"
1779572256970,1779572257029,122,1779572256956,1779572256956,delta,"0,0.05"
1779572257003,1779572257029,123,1779572256989,1779572256989,delta,"0,0.05"
1779572257035,1779572257062,124,1779572257021,1779572257022,delta,"0,0.05"
1779572257068,1779572257100,125,1779572257055,1779572257055,delta,"0,0.05"
1779572257100,1779572257156,126,1779572257087,1779572257087,delta,"0,0.05"
1779572257133,1779572257156,127,1779572257120,1779572257120,delta,"0,0.05"
1779572257167,1779572257190,128,1779572257154,1779572257154,delta,"0,0.05"
1779572257207,1779572257231,129,1779572257194,1779572257194,delta,"0,0.05"
1779572257239,1779572257286,130,1779572257226,1779572257226,delta,"0,0.05"
1779572257279,1779572257286,131,1779572257266,1779572257266,delta,"0,0.05"
1779572257311,1779572257319,132,1779572257297,1779572257297,delta,"0,0.05"
1779572257343,1779572257358,133,1779572257330,1779572257330,delta,"0,0.05"
1779572257380,1779572257415,134,1779572257367,1779572257367,delta,"0,0.05"
1779572257423,1779572257449,135,1779572257408,1779572257408,delta,"0,0.05"
1779572257464,1779572257488,136,1779572257450,1779572257450,delta,"0,0.05"
1779572257504,1779572257546,137,1779572257491,1779572257491,delta,"0,0.05"
1779572257547,1779572257579,138,1779572257534,1779572257534,delta,"0,0.05"
1779572257634,1779572257673,139,1779572257621,1779572257621,delta,"0,0.05"
1779572257638,1779572257673,140,1779572257624,1779572257625,delta,"0,0.05"
1779572257719,1779572257745,141,1779572257705,1779572257705,delta,"0,0.05"
1779572257724,1779572257745,142,1779572257710,1779572257710,delta,"0,0.05"
1779572257765,1779572257801,143,1779572257752,1779572257752,delta,"0,0.05"
1779572257805,1779572257835,144,1779572257791,1779572257791,delta,"0,0.05"
1779572257847,1779572257873,145,1779572257834,1779572257834,delta,"0,0.05"
1779572257887,1779572257930,146,1779572257873,1779572257873,delta,"0,0.05"
1779572257931,1779572257964,147,1779572257918,1779572257918,delta,"0,0.05"
1779572257966,1779572258002,148,1779572257952,1779572257952,delta,"0,0.05"
1779572257998,1779572258002,149,1779572257984,1779572257984,delta,"0,0.05"
1779572258031,1779572258058,150,1779572258017,1779572258017,delta,"0,0.05"
1779572258063,1779572258091,151,1779572258050,1779572258050,delta,"0,0.05"
1779572258096,1779572258132,152,1779572258083,1779572258083,delta,"0,0.05"
1779572258128,1779572258132,153,1779572258115,1779572258115,delta,"0,0.05"
1779572258161,1779572258189,154,1779572258148,1779572258148,delta,"0,0.05"
1779572258233,1779572258262,155,1779572258220,1779572258220,delta,"0,0.05"
1779572258238,1779572258262,156,1779572258224,1779572258224,delta,"0,0.05"
1779572258271,1779572258318,157,1779572258258,1779572258258,delta,"0,0.05"
1779572258312,1779572258318,158,1779572258299,1779572258299,delta,"0,0.05"
1779572258343,1779572258351,159,1779572258329,1779572258329,delta,"0,0.05"
1779572258377,1779572258390,160,1779572258363,1779572258363,delta,"0,0.05"
1779572258418,1779572258446,161,1779572258404,1779572258404,delta,"0,0.05"
1779572258457,1779572258480,162,1779572258444,1779572258444,delta,"0,0.05"
1779572258501,1779572258520,163,1779572258487,1779572258487,delta,"0,0.05"
1779572258547,1779572258577,164,1779572258534,1779572258534,delta,"0,0.05"
