timestamp_utc,seq,cmd_seq_echo,has_cmd,server_ts_ms,T0_input_ns,T1_send_ns,T3_isaac_recv_ns,T4_physics_ns,T5_isaac_send_ns,T6_unity_recv_ns,T7_rendered_ns,RTT_ms,Processing_ms,Network_est_ms,RenderDelay_ms,MTP_ms,Jitter_ms,NOTE_clocks
2026-05-23T21:57:04.6276290Z,2,-1,0,1779573424545,0,0,0,1779573424544000000,1779573424545000000,1779573424550000000,1779573424627000000,N/A,N/A,N/A,77.0000,N/A,0.00,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:04.6892130Z,4,-1,0,1779573424638,0,0,0,1779573424637000000,1779573424638000000,1779573424627000000,1779573424689000000,N/A,N/A,N/A,62.0000,N/A,1.92,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:04.6949830Z,5,-1,0,1779573424669,0,0,0,1779573424668000000,1779573424669000000,1779573424689000000,1779573424694000000,N/A,N/A,N/A,5.0000,N/A,3.37,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:04.7410970Z,6,-1,0,1779573424710,0,0,0,1779573424706000000,1779573424710000000,1779573424694000000,1779573424741000000,N/A,N/A,N/A,47.0000,N/A,3.48,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:04.8183530Z,8,-1,0,1779573424797,0,0,0,1779573424794000000,1779573424797000000,1779573424780000000,1779573424818000000,N/A,N/A,N/A,38.0000,N/A,3.87,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:04.9233820Z,9,-1,0,1779573424837,0,0,0,1779573424833000000,1779573424837000000,1779573424852000000,1779573424923000000,N/A,N/A,N/A,71.0000,N/A,7.69,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:04.9269190Z,11,-1,0,1779573424924,0,0,0,1779573424919000000,1779573424924000000,1779573424923000000,1779573424926000000,N/A,N/A,N/A,3.0000,N/A,12.42,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.0160690Z,12,-1,0,1779573424960,0,0,0,1779573424957000000,1779573424960000000,1779573424968000000,1779573425016000000,N/A,N/A,N/A,48.0000,N/A,14.96,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.0650180Z,13,-1,0,1779573425020,0,0,0,1779573425012000000,1779573425020000000,1779573425016000000,1779573425065000000,N/A,N/A,N/A,49.0000,N/A,14.72,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.1098100Z,15,-1,0,1779573425082,0,0,0,1779573425081000000,1779573425082000000,1779573425064000000,1779573425109000000,N/A,N/A,N/A,45.0000,N/A,14.87,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.2098590Z,17,-1,0,1779573425169,0,0,0,1779573425167000000,1779573425169000000,1779573425152000000,1779573425209000000,N/A,N/A,N/A,57.0000,N/A,14.76,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.2615840Z,18,-1,0,1779573425206,0,0,0,1779573425205000000,1779573425206000000,1779573425209000000,1779573425261000000,N/A,N/A,N/A,52.0000,N/A,14.76,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.3098940Z,19,-1,0,1779573425262,0,0,0,1779573425260000000,1779573425262000000,1779573425261000000,1779573425309000000,N/A,N/A,N/A,48.0000,N/A,14.31,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.3578960Z,20,-1,0,1779573425294,0,0,0,1779573425291000000,1779573425294000000,1779573425309000000,1779573425357000000,N/A,N/A,N/A,48.0000,N/A,14.42,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.4073320Z,21,-1,0,1779573425330,0,0,0,1779573425329000000,1779573425330000000,1779573425357000000,1779573425407000000,N/A,N/A,N/A,50.0000,N/A,14.35,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.4565370Z,23,-1,0,1779573425418,0,0,0,1779573425415000000,1779573425418000000,1779573425407000000,1779573425456000000,N/A,N/A,N/A,49.0000,N/A,15.88,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.4989140Z,24,-1,0,1779573425455,0,0,0,1779573425453000000,1779573425455000000,1779573425456000000,1779573425498000000,N/A,N/A,N/A,42.0000,N/A,15.22,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.5475990Z,25,-1,0,1779573425512,0,0,0,1779573425509000000,1779573425512000000,1779573425498000000,1779573425547000000,N/A,N/A,N/A,49.0000,N/A,15.28,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.5959070Z,26,-1,0,1779573425543,0,0,0,1779573425541000000,1779573425543000000,1779573425541000000,1779573425595000000,N/A,N/A,N/A,54.0000,N/A,15.54,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.6253310Z,27,-1,0,1779573425579,0,0,0,1779573425578000000,1779573425579000000,1779573425595000000,1779573425625000000,N/A,N/A,N/A,30.0000,N/A,14.63,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.6662650Z,28,-1,0,1779573425637,0,0,0,1779573425632000000,1779573425637000000,1779573425625000000,1779573425666000000,N/A,N/A,N/A,41.0000,N/A,14.78,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.7073710Z,29,-1,0,1779573425668,0,0,0,1779573425663000000,1779573425668000000,1779573425666000000,1779573425707000000,N/A,N/A,N/A,41.0000,N/A,14.48,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.7409710Z,30,-1,0,1779573425705,0,0,0,1779573425701000000,1779573425705000000,1779573425707000000,1779573425740000000,N/A,N/A,N/A,33.0000,N/A,13.79,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.8067820Z,31,-1,0,1779573425756,0,0,0,1779573425756000000,1779573425756000000,1779573425740000000,1779573425806000000,N/A,N/A,N/A,66.0000,N/A,13.85,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.8101300Z,32,-1,0,1779573425788,0,0,0,1779573425787000000,1779573425788000000,1779573425806000000,1779573425810000000,N/A,N/A,N/A,4.0000,N/A,14.78,T3-T5 on Isaac clock; Network_est approximate
2026-05-23T21:57:05.8753300Z,33,-1,0,1779573425829,0,0,0,1779573425825000000,1779573425829000000,1779573425841000000,1779573425875000000,N/A,N/A,N/A,34.0000,N/A,15.36,T3-T5 on Isaac clock; Network_est approximate
